county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Dauphin,45.800000000000004,314.0,286108.0,46.28,44.599999999999994,1.0974876620017617
Davidson,44.35,871.0,439642.0,42.790000000000006,48.25,1.9811573962451268
Davie,47.871428571428574,73.0,43030.0,47.88,47.85,1.69649082035789
Daviess,40.55238095238095,129.0,48223.666666666664,40.026666666666664,41.86666666666667,2.67503507959439
Davis,44.949999999999996,163.0,186062.5,44.86,45.175,0.8760497144776621
Davison,44.98571428571428,11.0,19966.0,46.019999999999996,42.4,0.5509365922067514
Dawes,42.528571428571425,17.0,8279.0,40.739999999999995,47.0,2.053388090349076
Dawson,38.18928571428571,89.0,18162.25,37.285000000000004,40.45,4.9002739198061915
DeKalb,40.31428571428572,888.0,168155.66666666666,39.04,43.5,5.280821143900394
DeSoto,36.15,157.0,110236.0,33.58888888888889,43.833333333333336,1.424217134148554
DeWitt,38.55714285714286,13.0,19826.0,35.56,46.05,0.6557046302834661
Dearborn,43.8,40.0,50709.0,42.58,46.849999999999994,0.7888146088465559
Decatur,41.13142857142857,66.0,15486.6,40.192,43.480000000000004,4.261748866762233
Defiance,42.128571428571426,68.0,38300.0,40.779999999999994,45.5,1.7754569190600522
Delaware,44.680952380952384,1209.0,167748.83333333334,45.10333333333333,43.625,7.207203626850857
Delta,43.26666666666667,70.0,24430.0,42.06666666666667,46.26666666666667,2.865329512893983
Dent,40.357142857142854,24.0,14509.0,40.58,39.8,1.6541457026673099
Denton,43.51428571428572,994.0,914870.0,40.160000000000004,51.9,1.0864931629630439
Denver,45.357142857142854,728.0,710800.0,46.42,42.7,1.024198086662915
Deschutes,44.91428571428571,118.0,199352.0,42.760000000000005,50.3,0.5919178137164413
Desha,35.77142857142857,6.0,11285.0,35.12,37.400000000000006,0.5316792202038103
Dickenson,43.971428571428575,11.0,14089.0,43.44,45.3,0.7807509404499965
Dickinson,45.96666666666666,48.0,20707.0,45.326666666666675,47.56666666666666,2.3180566958033513
Dickson,41.699999999999996,29.0,54563.0,39.239999999999995,47.849999999999994,0.5314957022157872
Dillon,37.24285714285714,38.0,28255.0,35.620000000000005,41.3,1.3448947089010794
Dimmit,31.414285714285715,13.0,8672.0,30.24,34.35,1.4990774907749078
Dinwiddie,43.81428571428571,38.0,28057.0,43.18,45.4,1.3543857147948817
Dixon,45.642857142857146,6.0,5579.0,44.8,47.75,1.0754615522495072
Dodge,42.93928571428571,105.0,41769.25,42.515,44.0,2.5138109973245872
Doniphan,40.92857142857143,13.0,7501.0,41.44,39.65,1.7331022530329288
Dooly,35.81428571428571,25.0,11236.0,35.06,37.7,2.2249911000356
Door,48.44285714285714,20.0,30038.0,48.879999999999995,47.35,0.6658232904987017
Dorchester,43.83571428571429,206.0,97348.0,42.65,46.8,2.116119488844147
Dougherty,33.67142857142857,78.0,85038.0,34.08,32.65,0.9172369999294433
Douglas,44.75952380952381,1220.0,127347.75,43.781666666666666,47.20416666666667,9.58006717825796
Drew,39.84285714285714,11.0,17309.0,38.04,44.349999999999994,0.6355075394303541
DuPage,47.1,1076.0,930559.0,45.88,50.150000000000006,1.1562942274482328
Dubois,45.57142857142857,32.0,43584.0,42.14,54.15,0.7342143906020557
Dubuque,46.32857142857143,40.0,98812.0,47.9,42.400000000000006,0.40480913249402906
Duchesne,34.214285714285715,2.0,19779.0,33.660000000000004,35.599999999999994,0.1011173466808231
Dunklin,37.94285714285714,12.0,28174.0,38.839999999999996,35.7,0.42592461134379217
Dunn,40.51428571428572,54.0,24635.0,40.510000000000005,40.525,2.1920032474122184
Duplin,42.55714285714286,52.0,49312.0,43.04,41.35,1.054510058403634
Durham,49.857142857142854,339.0,325101.0,51.56,45.599999999999994,1.0427528675703859
Dutchess,43.614285714285714,257.0,296467.0,43.24,44.55,0.8668755713114782
